Id,Label,Latitude,Longitude
12,PAKI AVE + PONI MOI RD,21.261225,-157.818181
13,PAKI AVE + DIAMOND HEAD TENNIS CTR,21.263524,-157.818523
14,PAKI AVE + NOELA ST,21.266265,-157.816826
15,PAKI AVE + PAKI PLAYGROUND,21.267915,-157.816033
16,PAKI AVE + MONSARRAT AVE,21.270149,-157.815989
17,PAKI AVE + KAPAHULU AVE,21.272237,-157.816457
18,KAPAHULU AVE + ALA WAI BL,21.273013,-157.8171
19,KAPAHULU AVE + KUHIO AVE,21.272019,-157.819893
20,KUHIO AVE + PAOAKALANI AVE,21.273741,-157.82115
22,KUHIO AVE + LILIUOKALANI AVE,21.27579,-157.822651
23,KUHIO AVE + KAIULANI AVE,21.276933,-157.823715
24,KUHIO AVE + WALINA ST,21.278309,-157.82481
26,KUHIO AVE + SEASIDE AVE,21.28041,-157.827239
27,KUHIO AVE + LEWERS ST,21.281378,-157.828344
28,KUHIO AVE + LAUNIU ST,21.282357,-157.829462
29,KUHIO AVE + NAMAHANA ST,21.284154,-157.831603
30,KALAKAUA AVE + PAU ST,21.285485,-157.832792
31,KALAKAUA AVE + MCCULLY ST,21.287028,-157.833662
33,KALAKAUA AVE + KAPIOLANI BL,21.290046,-157.83534
34,KALAKAUA AVE + KAPIOLANI BL,21.291288,-157.835917
35,KALAKAUA AVE + OPP MAKALOA ST,21.293146,-157.836688
36,KALAKAUA AVE + PHILIP ST,21.294931,-157.83678
37,KALAKAUA AVE + S KING ST,21.296872,-157.836829
38,S BERETANIA ST + OPP KALAKAUA AVE,21.299544,-157.837549
39,S BERETANIA ST + KEEAUMOKU ST,21.300116,-157.839146
40,S BERETANIA ST + PIIKOI ST,21.300937,-157.841382
41,S BERETANIA ST + PENSACOLA ST,21.302221,-157.844905
43,S BERETANIA ST + WARD AVE,21.303833,-157.849322
44,S BERETANIA ST + ALAPAI ST,21.305022,-157.852567
45,S BERETANIA ST + PUNCHBOWL ST,21.307244,-157.856142
46,S HOTEL ST + ALAKEA ST,21.308713,-157.859373
47,S HOTEL ST + BISHOP ST,21.309495,-157.860523
48,S HOTEL ST + BETHEL ST,21.310442,-157.861494
50,N HOTEL ST + KEKAULIKE ST,21.312891,-157.863177
52,N KING ST + N BERETANIA ST,21.315949,-157.8642
53,LILIHA ST + N KING ST,21.318574,-157.863959
54,LILIHA ST + VINEYARD BL,21.319713,-157.862462
55,LILIHA ST + KAULUWELA PL,21.320837,-157.860957
56,LILIHA ST + SCHOOL ST,21.321755,-157.85976
57,LILIHA ST + 1657,21.32283,-157.858452
58,LILIHA ST + KUAKINI ST,21.323841,-157.857127
59,LILIHA ST + ELENA ST,21.324815,-157.85589
60,LILIHA ST + BATES ST,21.325506,-157.855023
61,LILIHA ST + JUDD ST,21.326695,-157.853601
62,LILIHA ST + BACHELOT ST,21.327464,-157.85302
63,LILIHA ST + HALAPIA PL,21.328799,-157.851447
64,LILIHA ST + OPP EKEKELA ST,21.329717,-157.850152
65,LILIHA ST + WYLLIE ST,21.33053,-157.848973
66,LILIHA ST + NAMAUU DR,21.333084,-157.847487
67,SCHOOL ST + LILIHA ST,21.321934,-157.860141
68,SCHOOL ST + ALANEO ST,21.324643,-157.861683
69,SCHOOL ST + LANAKILA AVE,21.326417,-157.862699
70,SCHOOL ST + 1002,21.327587,-157.863373
71,SCHOOL ST + OPP KOKEA ST,21.329072,-157.864236
72,SCHOOL ST + POHAKU ST,21.330105,-157.864823
73,SCHOOL ST + HOUGHTAILING ST,21.331811,-157.866048
74,SCHOOL ST + KAPALAMA ST,21.334113,-157.86787
75,SCHOOL ST + LIKELIKE HWY,21.335748,-157.869173
76,SCHOOL ST + LEILANI ST,21.337055,-157.87065
77,SCHOOL ST + GULICK AVE,21.337935,-157.871895
78,SCHOOL ST + KINO ST,21.339517,-157.87329
79,SCHOOL ST + KAMEHAMEHA IV RD,21.340924,-157.874401
81,SCHOOL ST + NOTLEY ST,21.342293,-157.87825
82,MIDDLE ST + ROSE ST,21.341283,-157.879644
83,MIDDLE ST + OPP KAHAUIKI ST,21.340575,-157.880486
84,MIDDLE ST + KAUA ST,21.338429,-157.883026
